comment,time
"I DO NOT RECCOMEND UNILODGE BROADWAY!\n\nIf you have plans to live there BE PREPARED TO NOT GET YOUR BOND BACK SO SOON and EITHER NOT 100% of it. FORGET IT! Unilodge Broadway took almost 2 months without ANY excuse to keep my bond and despite my last emails asking WHAT WAS THE REASON I received my bond incomplete NEVER receive a response. They just did not feel they need to give a fair response..... MY ADVICE: Run!! 😡😡😡😡😡😡😡😡😡😡","Updated Apr 14, 2022"
"Trespass, damage to property, and theft.\n\nI stayed with Unilodge for 3 years, and throughout my time with them it was fine, but my final experience with them was so bad I feel the need to give them a one star review.\n\nI returned to my room to pack up my belongings to find they were already packed up by the cleaners. While I was the lawful tenant, strangers who I had never met touched everything in my room and damaged several of my belongings with their careless packing. As if that was not bad enough, after getting everything out of the boxes, I found out that they have stolen items from me! Here's a non-exhaustive list:\n\n20 pack of toilet paper (this was when it was really hard to get at the shops)\nAftershave\nAn SD card with some personal photos on it.\n\nI have searched through all my belongings time and time again, as I do not make such accusations lightly, but they are not there, and these cleaners are the only ones that could have taken them.\n\nI asked to be contacted through the Wellbeing Form, and heard nothing back. I tried contacting the head office, but heard nothing back. It makes their constant preaching 'we care about your mental health!' seem like a lie when I have still heard nothing from them all this time.\n\nLet me make this absolutely clear: these cleaners trespassed in my room, while I was still the lawful tenant, with all rental payments up to date. They then packed my belongings without any due care causing damage to some very important items, and finally, stole items they thought they could get away with stealing. Who knows what else they stole that I haven't noticed? To top it all off, I have been ignored by the very people Unilodge says you can contact 'if you have any issues'. My mental health has certainly been affected by this experience, let me tell you.\n\nSo Unilodge is good enough until anything bad happens, then they are shown to be what they really are: a soulless careless company that cares only about your money and what they can steal from you, nothing more.\n\nSTAY FAR AWAY!","Apr 14, 2022"
"DO NOT STAY AT UNILODGE ST LUCIA\n\nDO NOT STAY AT UNILODGE ST LUCIA - I guarantee you will regret it. If I could have given a 0 rating I would have.\n\nFirst of the apartment was absolutely disgusting, u name it you have it. Hair, dust, mould, grease, stains in the rooms. The sofa was SO mouldy it gave off a stench. The office chairs provided were torn and also mouldy. The aircon gives off a huge stench whenever used. There are stains on the walls and floor. There was hair and dust in every corner of the room, even the wardrobe and drawers. The oven and microwave were greasy with trays leftover from the previous tenant. The light and tv in my room were faulty once I moved in. I emailed the front desk multiple times to ask for a repair but NO REPLY. I went to the front desk and they informed me the maintenance guy was coming but they could give me an exact time or date. Ridiculous. Also, beware that they will allow the maintenance guy into your room without your presence, consent or notice. When the maintenance guy came, the long list of damages I submitted to the front desk was filtered down to only 2 things: a small chipped off tile and a faulty light. I am still awaiting the repair for my light, 4 months in.\n\n(btw they require all tenants to pay for professional cleaning at the end of the lease, so there is no reason for it to be so dirty)\n\nThe walls are really thin, you can literally hear people closing their doors, wardrobes and drawers. If you have a neighbour upstairs, good luck because all you can hear are their footsteps.\n\nSmoking is not allowed onsite YET people smoke on the balconies without ANY consequences. Multiple calls and complaints were lodged to RAs and Frontdesk but apparently, photos and video evidence of them with cigarettes in hand were not enough to trigger any disciplinary action. The management then claimed that \"they did not catch the smokers smoking\" hence only warnings can be given.\n\nThe people at the front desk have a very bad attitude, ignoring all emails sent. Only replying when the rent is due.\n\nAs you know, an entry condition report has to be done at the start of the rental period (within 48 hours) with the staff. BUT the staff did not complete it with us, they did not even inform us to do it. In the form was a template stating that everything was clean and in perfect condition. I filled in the form along with pictorial evidence and sent it back to them. But, low and behold, no reply. Not even an acknowledgement that they have received it.\n\nLastly, upon arrival, you will be given a set of keys. But the set of keys that I and my roommate received was different. I was missing a key and when I approached the front desk, they claimed that they are missing 1 and could order 1 for me if I wanted. I was supposed to have a full set of keys as written in the agreement they had me sign and I would be charged if there was any missing key at the end of my lease. This was a very irresponsible act because if I had not checked it, they might have charged me $50 extra for the missing key I was never given.","Updated Apr 14, 2022"
"Customer support was horrible\n\nI asked for cancellation of a apartment key request and a refund for my payment. At first, they replied that they were checking with the OC manager regarding my payment then they have been kind of ghosting me for 2 weeks now. All of my attempts to contact them via emails and calls didn't get through. I can't believe that a service provider can just ghost you with your money like that.","Apr 6, 2022"
"UniLodge park central plz refund my bond!!!\n\nUniLodge park central\nwaiting 4 months for bond refund, but still don't get refund. no one reply me with the process just say raised this issue with higher management but no more updates.\nThis is my worst experience in AU.","Updated Mar 25, 2022"
"Unilodge Macquarie\n\nUnilodge Macquarie, St lucia which is managed by unilodge manors has the worst management EVER!!!! I will explain why.\n\nAt the start of Jan 22 I UniLodge sent a letter of offer. I accepted and paid the four weeks in advance. When I arrived to move in on the 31 Jan as per the agreement I found out that the previous tenant had not moved out. While giving the apartment to a new tenant, management did not even check if the old tenant had vacated. So, I was told to come back later in the week. I had no place to go, and had pre-arranged for electricity, paid rent and internet to be connected for the day I moved in on the 31. Only to have someone else to stay in the apartment when I am paying for it.\n\nThe apartment was supposed to come with an undercover carpark, but Unilodge never gave me access to it. I have been parking outside during storms in hopes that my car will not be damaged. I still don't have access to it. unilodge management was notified of the problem and I informed them of my concerns; however, my request has been ignored.\n\nThe apartment was advertised as furnished, yet when I moved in I discovered the double bed was broken and had a big bend in it, as well as two single mattresses on top of the bed. The UniLodge did not bother replacing the bed and instead provided tenants with two single beds to cover the broken one! I have been sleeping on the couch for the past few days because the management ignores my emails even after I send them photographs of the condition.\n\nAs far as I can tell, the apartment wasn't bond cleaned at all. There was a half tube of toothpaste, floss on the benches, massive cobwebs on the balcony and white marks on the bathroom floor. After contacting management once more, you can imagine what happened next.. nothing my emails were ignored.\n\nWhen I advised in writing to unilodge that no one to enter my property unless I was there. Yet when I came home i noticed someone with access has entered my property without my permission.\n\nAdditionally, there is a lot of gas building up in the bathroom when the door is closed and clearly noticed when you open the door. I notified management, but, this time, I will let you, the reader, guess my verdict.\n\nStay away from this place what you see on website is not what’s in reality.","Feb 3, 2022"
"Very dirty and electronic appliance all broken\n\nDO NOT LIVE IN UNILODGE ST LUCIA\n\nPROBLEMS:\nBROKEN electrical appliances:\nTV\nTelephone\nDryer (SHATTERED in pieces)\nVentilator\nLights (one of them)\nOven (plastic ring near the oven door is broken)\n\nNearly ALL electrical appliances in the room are unusable.\n\nHygiene (EXTEREMLY BAD):\nDust EVERYWHERE\nKitchen cupboards are covered with oil stains\nChair (Black chair is now covered with WHITE grease and UNWASHABLE)\nMattress: yellowed and filled with dust and stain\nBathroom: covered with dust and stains.\nLOTS OF INSECTS in the room.\n\nPlz remember tenants have PAID the rent and unilodge is OBGLIATED to provide a clean and comfortable living environment to tenants when they arrive and clean the room PRIOR.","Jan 24, 2022"
"Price changes with unresponsive customer services\n\nI have booked online last month and the website clearly states that the price is a rate ‘applies to 2 people. I have then selected 2 people with the website showing ‘charge included’, then I have submitted my booking, After 2 weeks, I have received my offer letter, but they have not specified as a ‘2 person booking’ in my lease, so I am a bit frustrated about. I replied to their email right after I received, to ask and reconfirm about if it is a 2 person booking or not. No reply was given until the offer deadline so I have to pay the deposit. Until yesterday I called in to request a change in check-in date, and they tell me I have only paid for 1 person and I will be sharing the room with someone else. Then I go back to the website and check and they did really change the info to ‘rate applies to 1 person’. I do have the screenshot of their website by I time I made the booking, which clearly states that it should be a price for 2. The customer service even suggest I not call back since they are busy, but you guys never reply to my email, so how can I get addressed in time? I am very frustrated and unhappy about the result and I decides to have my deposit refunded and I will not come back again. If you need the screenshot for proof then I will be more than happy to provide it (actually I have sent it out along with my email but still, no reply :)","Jan 20, 2022"
"lets say any boarding house in victoria…\n\nlets say any boarding house in victoria as I know the\n\nlegislation there and have had a bit too do with the\n\ntribunal system there.\n\nof course your answer was to divert.\n\nmaking me think I am right.\n\neither that your you have found a loop hole to take\n\nadvantage of the weak poor and disadvantaged.\n\ninternational students will not know about this and\n\nmost 18 year olds and there parents who either rent\n\nthere own property or own would not know it.\n\nI have acted onbehalf of international students before\n\nto stop preditory actions from landlords.\n\nI will take my time get advice and we shall see were this goes.\n\ntoo have no compassion dure in covid lock down\n\nwill make this a true pleasure.\n\nthere was law passed about lockdown and rental agreements.\n\nwhat makes you think you were above the law ?\n\na peice of paper is only as good as the legislation\n\nbehind it.\n\nso before everyone at your lodges learns about\n\ntenancy tribunal answer the question.\n\nIf I am right and I think I am you will have to pay a lot\n\nof money back.\n\nI would also think a curent afair would love to hear about your actions dure in covid.\n\ntruly amazing that you have stated your place online\n\nso others can see it including the tribunal and media.\n\ndid you know the fine for not lodging a bond with the\n\nbond authority in victoria is around $16,000 per person.\n\nand it states that any money taken that is not rent\n\nas a holding fee incase of damages etc is a bond\n\neven if the landlord pretends it is not.\n\nI wonder what 16 grand multiplied by everyone you\n\nhave had stay there would be ?\n\ndo you lodge your bonds with the bond authority ?\n\nto all the people reviewing here did you get a recipet\n\nfrom the bond authority ?\n\nif not it is illegal too collect a fee for damages or unpaid rent for a room or apartment.\n\nI doubt we can classify you as a hotel as you have long\n\nterm contracts.\n\nI have never heard of you being put too the test.\n\nit will be interesting to see the outcome.","Updated Nov 2, 2021"
"Unilodge on Riversdale Road, Melbourne, Victoria.\n\nUnilodge on Riversdale road, Melbourne, VIC 3122 is the horrible place with the worse managment ever. They have students as RA to help out the tenants but they select students as RA that they smoke in their apartments while they have already deactivated fire alarms, and party till morning and make noises and bother neighbours.\nIf you contact manager, they just ignore.\nJust avoid the Unilodge in Melbourne.","Dec 18, 2020"
