Title,Type,Price,Image
"<div class=""title"">5 Bedroom Apartment</div>","<div class=""icon-number"">
<div class=""icon living"">5</div>
<div class=""icon bed"">5</div>
<div class=""icon bath"">2</div>
</div>","<div class=""price-wrapper"">
<div class=""text"">From</div>
<div class=""price"">
<span class=""discounted"">$389</span> $285                  </div>
</div>","<div class=""img bg-cover-center"" style=""background-image: url(https://www.dwellstudent.com.au/wp-content/uploads/2020/03/DVMC-5-Bedroom-Thumb-768x432.jpg);"">
<img class=""img-mask"" src=""https://www.dwellstudent.com.au/wp-content/uploads/2020/03/DVMC-5-Bedroom-Thumb-768x432.jpg""/>
</div>"
"<div class=""title"">5 Bedroom Apartment Deluxe</div>","<div class=""icon-number"">
<div class=""icon living"">5</div>
<div class=""icon bed"">5</div>
<div class=""icon bath"">2</div>
</div>","<div class=""price-wrapper"">
<div class=""text"">From</div>
<div class=""price"">
                    $355                  </div>
</div>","<div class=""img bg-cover-center"" style=""background-image: url(https://www.dwellstudent.com.au/wp-content/uploads/2019/10/5-bed-living-room-600x353-deluxe.jpg);"">
<img class=""img-mask"" src=""https://www.dwellstudent.com.au/wp-content/uploads/2019/10/5-bed-living-room-600x353-deluxe.jpg""/>
</div>"
"<div class=""title"">4 Bedroom Apartment Deluxe</div>","<div class=""icon-number"">
<div class=""icon living"">4</div>
<div class=""icon bed"">4</div>
<div class=""icon bath"">2</div>
</div>","<div class=""price-wrapper"">
<div class=""text"">From</div>
<div class=""price"">
<span class=""discounted"">$372</span> $339                  </div>
</div>","<div class=""img bg-cover-center"" style=""background-image: url(https://www.dwellstudent.com.au/wp-content/uploads/2019/10/4br-apartment-s-view-h-768x512.jpg);"">
<img class=""img-mask"" src=""https://www.dwellstudent.com.au/wp-content/uploads/2019/10/4br-apartment-s-view-h-768x512.jpg""/>
</div>"
"<div class=""title"">3 Bedroom Apartment</div>","<div class=""icon-number"">
<div class=""icon living"">3</div>
<div class=""icon bed"">3</div>
<div class=""icon bath"">1</div>
</div>","<div class=""price-wrapper"">
<div class=""text"">From</div>
<div class=""price"">
<span class=""discounted"">$340</span> $309                  </div>
</div>","<div class=""img bg-cover-center"" style=""background-image: url(https://www.dwellstudent.com.au/wp-content/uploads/2020/04/3-bedroom-thumb.jpg);"">
<img class=""img-mask"" src=""https://www.dwellstudent.com.au/wp-content/uploads/2020/04/3-bedroom-thumb.jpg""/>
</div>"
"<div class=""title"">3 Bedroom Apartment Large</div>","<div class=""icon-number"">
<div class=""icon living"">3</div>
<div class=""icon bed"">3</div>
<div class=""icon bath"">1</div>
</div>","<div class=""price-wrapper"">
<div class=""text"">From</div>
<div class=""price"">
                    $387                  </div>
</div>","<div class=""img bg-cover-center"" style=""background-image: url(https://www.dwellstudent.com.au/wp-content/uploads/2020/03/DVMC-3-Bedroom-Large-Thumb-768x432.jpg);"">
<img class=""img-mask"" src=""https://www.dwellstudent.com.au/wp-content/uploads/2020/03/DVMC-3-Bedroom-Large-Thumb-768x432.jpg""/>
</div>"
"<div class=""title"">2 Bedroom Studio</div>","<div class=""icon-number"">
<div class=""icon living"">2</div>
<div class=""icon bed"">2</div>
<div class=""icon bath"">1</div>
</div>","<div class=""price-wrapper"">
<div class=""text"">From</div>
<div class=""price"">
                    $298                  </div>
</div>","<div class=""img bg-cover-center"" style=""background-image: url(https://www.dwellstudent.com.au/wp-content/uploads/2019/12/H033rmit-768x512.jpg);"">
<img class=""img-mask"" src=""https://www.dwellstudent.com.au/wp-content/uploads/2019/12/H033rmit-768x512.jpg""/>
</div>"
"<div class=""title"">2 Bedroom Studio with Balcony</div>","<div class=""icon-number"">
<div class=""icon living"">2</div>
<div class=""icon bed"">2</div>
<div class=""icon bath"">1</div>
</div>","<div class=""price-wrapper"">
<div class=""text"">From</div>
<div class=""price"">
<span class=""discounted"">$310</span> $229                  </div>
</div>","<div class=""img bg-cover-center"" style=""background-image: url(https://www.dwellstudent.com.au/wp-content/uploads/2019/12/H010rmit-768x512.jpg);"">
<img class=""img-mask"" src=""https://www.dwellstudent.com.au/wp-content/uploads/2019/12/H010rmit-768x512.jpg""/>
</div>"
"<div class=""title"">2 Bedroom Apartment</div>","<div class=""icon-number"">
<div class=""icon living"">2</div>
<div class=""icon bed"">2</div>
<div class=""icon bath"">1</div>
</div>","<div class=""price-wrapper"">
<div class=""text"">From</div>
<div class=""price"">
<span class=""discounted"">$349</span> $329                  </div>
</div>","<div class=""img bg-cover-center"" style=""background-image: url(https://www.dwellstudent.com.au/wp-content/uploads/2020/03/DVMC-2-Bedroom-Thumb-768x432.jpg);"">
<img class=""img-mask"" src=""https://www.dwellstudent.com.au/wp-content/uploads/2020/03/DVMC-2-Bedroom-Thumb-768x432.jpg""/>
</div>"
"<div class=""title"">1 Bedroom Suite</div>","<div class=""icon-number"">
<div class=""icon living"">1-2</div>
<div class=""icon bed"">1</div>
<div class=""icon bath"">1</div>
</div>","<div class=""price-wrapper"">
<div class=""text"">From</div>
<div class=""price"">
                    $439                  </div>
</div>","<div class=""img bg-cover-center"" style=""background-image: url(https://www.dwellstudent.com.au/wp-content/uploads/2020/03/1-br-suite-thumb-768x432.jpg);"">
<img class=""img-mask"" src=""https://www.dwellstudent.com.au/wp-content/uploads/2020/03/1-br-suite-thumb-768x432.jpg""/>
</div>"
"<div class=""title"">1 Bedroom Studio Deluxe</div>","<div class=""icon-number"">
<div class=""icon living"">1</div>
<div class=""icon bed"">1</div>
<div class=""icon bath"">1</div>
</div>","<div class=""price-wrapper"">
<div class=""text"">From</div>
<div class=""price"">
                    $439                  </div>
</div>","<div class=""img bg-cover-center"" style=""background-image: url(https://www.dwellstudent.com.au/wp-content/uploads/2020/03/1-br-deluxe-studio-768x494.jpg);"">
<img class=""img-mask"" src=""https://www.dwellstudent.com.au/wp-content/uploads/2020/03/1-br-deluxe-studio-768x494.jpg""/>
</div>"
